8
8
100
['dA_v2', 'dB_v3', 'dB_v4', 'dB_v2', 'dB_v1', 'dA_v1', 'dC_v1']
['dD_v2', 'dC_v2', 'dC_v4', 'dC_v3', 'dA_v2', 'dA_v1', 'dC_v1']
['dC_v3', 'dA_v2', 'dA_v1', 'dB_v1', 'dB_v2', 'dB_v4', 'dD_v1', 'dD_v2', 'dC_v2', 'dC_v1']
['dA_v1', 'dA_v2', 'dB_v3', 'dB_v4', 'dB_v2', 'dD_v1', 'dD_v2', 'dC_v2', 'dC_v4', 'dC_v3', 'dC_v1']
238 ['0.0002', '0.0000', '0.0002', '0.0000']
239 ['0.0001', '0.0000', '0.0001', '0.0000']
240 ['0.0000', '0.0011', '0.9987', '0.0029']
241 ['0.9965', '0.0032', '0.0020', '0.9975']
242 ['0.0003', '0.0001', '0.0001', '0.0002']
243 ['0.0001', '0.0000', '0.0000', '0.0000']
244 ['0.0001', '0.0000', '0.0001', '0.0000']
245 ['0.0044', '0.9951', '0.9988', '0.9948']
246 ['0.0002', '0.0002', '0.0002', '0.0001']
247 ['0.0001', '0.0000', '0.0001', '0.0000']
248 ['0.0001', '0.0001', '0.0002', '0.0000']
249 ['0.0001', '0.0000', '0.0001', '0.0000']
250 ['0.0001', '0.0001', '0.0005', '0.0000']
251 ['0.0000', '0.0015', '0.9970', '0.0015']
252 ['0.0001', '0.0000', '0.0002', '0.0000']
253 ['0.0001', '0.0000', '0.0002', '0.0000']
254 ['0.0001', '0.0000', '0.0001', '0.0000']
255 ['0.0001', '0.0000', '0.0001', '0.0000']
256 ['0.0039', '0.9950', '0.9988', '0.9943']
257 ['0.0002', '0.0003', '0.0003', '0.0001']
258 ['0.0001', '0.0000', '0.0001', '0.0000']
259 ['0.0001', '0.0001', '0.0001', '0.0000']
260 ['0.0001', '0.0000', '0.0000', '0.0000']
261 ['0.0001', '0.0000', '0.0001', '0.0000']
262 ['0.0001', '0.0000', '0.0001', '0.0000']
263 ['0.0001', '0.0000', '0.0001', '0.0000']
264 ['0.0000', '0.0008', '0.9981', '0.0023']
265 ['0.0001', '0.0000', '0.0003', '0.0000']
266 ['0.9980', '0.9984', '0.0004', '0.0032']
267 ['0.0004', '0.0001', '0.0001', '0.0001']
268 ['0.0000', '0.0014', '0.9982', '0.0030']
269 ['0.0001', '0.0000', '0.0002', '0.0000']
270 ['0.0002', '0.0001', '0.0001', '0.0000']
271 ['0.9973', '0.0022', '0.0011', '0.9973']
272 ['0.0002', '0.0001', '0.0003', '0.0002']
273 ['0.0002', '0.0000', '0.0000', '0.0000']
274 ['0.0001', '0.0000', '0.0002', '0.0000']
275 ['0.0000', '0.0012', '0.9983', '0.0026']
276 ['0.0002', '0.0000', '0.0002', '0.0000']
277 ['0.9980', '0.9984', '0.0004', '0.0032']
278 ['0.0004', '0.0001', '0.0001', '0.0000']
279 ['0.0002', '0.0001', '0.0001', '0.0000']
